Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
MAR;202305281820;16.60;0.00;-;-;61.90;9.30;283.00;2.90;4.30;-;-;-;-;-;-;-;-;-;-;-
OTL;202305281820;19.50;2.10;0.00;0.00;62.80;12.20;239.00;10.40;29.50;970.90;1013.80;1015.10;-;-;-;-;-;-;-;-
LUG;202305281820;16.30;0.00;0.00;4.00;94.80;15.50;49.00;4.00;7.90;979.50;1014.70;1015.20;-;-;-;-;-;-;-;-
LUZ;202305281820;21.80;0.00;10.00;75.00;41.90;8.30;5.00;11.50;22.00;961.30;1012.80;1014.90;-;-;-;-;-;-;-;-
LAE;202305281820;18.10;-;10.00;78.00;44.00;5.70;44.00;19.10;33.10;919.10;-;1016.90;1510.10;-;-;-;-;-;-;-
MAG;202305281820;18.30;2.10;0.00;0.00;87.10;16.10;238.00;12.60;16.90;990.10;1014.00;1014.50;-;-;-;-;-;-;-;-
MAS;202305281820;19.80;0.00;-;-;41.70;6.40;356.00;15.80;26.30;-;-;-;-;-;-;-;-;-;-;-
MAH;202305281820;22.20;0.00;10.00;85.00;38.90;7.60;25.00;10.80;16.20;962.70;1012.00;1014.10;-;-;-;-;-;-;-;-
MTR;202305281820;7.70;-;0.00;51.00;87.00;5.70;67.00;5.40;10.40;782.40;-;1020.80;1500.90;-;-;-;-;-;-;-
MER;202305281820;21.40;0.00;2.00;79.00;38.50;6.70;309.00;19.80;33.10;945.70;1011.80;1014.60;-;-;-;-;-;-;-;-
MOB;202305281820;18.50;0.00;-;-;57.10;9.90;128.00;7.20;12.60;917.70;-;1014.70;1492.60;-;-;-;-;-;-;-
MVE;202305281820;15.50;0.00;0.00;33.00;46.30;4.00;334.00;9.40;24.80;856.50;-;1016.80;1488.90;-;-;-;-;-;-;-
GEN;202305281820;10.10;0.00;0.00;4.00;99.30;10.00;133.00;23.40;29.20;840.30;-;1019.30;1505.60;-;-;-;-;-;-;-
MRP;202305281820;4.20;-;0.00;159.00;60.60;-2.70;80.00;5.80;12.20;718.10;-;1022.40;-;3094.50;-;-;-;-;-;-
MOA;202305281820;21.90;0.00;10.00;83.00;40.50;7.90;40.00;7.20;17.30;961.90;1013.20;1015.30;-;-;-;-;-;-;-;-
MTE;202305281820;14.60;0.00;0.00;61.00;49.40;4.10;41.00;3.20;7.90;841.00;-;1017.70;1490.70;-;-;-;-;-;-;-
MOE;202305281820;21.20;0.00;0.00;61.00;46.80;9.40;91.00;11.90;20.20;974.40;1013.70;1015.10;-;-;-;-;-;-;-;-
MUB;202305281820;20.60;0.00;0.00;56.00;45.40;8.40;48.00;5.40;9.40;958.00;1012.50;1014.50;-;-;-;-;-;-;-;-
NAS;202305281820;4.80;-;0.00;40.00;79.70;1.60;96.00;7.90;12.60;764.80;-;1021.80;-;3097.70;-;-;-;-;-;-
NAP;202305281820;13.70;0.00;0.00;54.00;58.00;5.60;354.00;10.10;21.20;860.10;-;1018.60;1504.90;-;-;-;-;-;-;-
NEU;202305281820;21.50;0.00;3.00;59.00;40.10;7.40;36.00;14.80;24.80;957.50;1012.30;1014.50;-;-;-;-;-;-;-;-
CGI;202305281820;21.30;0.00;0.00;54.00;34.40;5.00;349.00;7.20;12.60;959.70;1011.70;1013.70;-;-;-;-;-;-;-;-
OBR;202305281820;21.50;0.00;-;-;40.90;7.70;356.00;13.70;20.50;967.00;1013.60;1015.40;-;-;-;-;-;-;-;-
AEG;202305281820;-;-;-;-;-;-;34.00;11.50;23.40;-;-;-;-;-;-;-;-;-;-;-
ORO;202305281820;18.80;0.00;10.00;84.00;42.20;5.70;39.00;24.80;36.40;919.40;-;1015.30;1498.30;-;-;-;-;-;-;-
BEH;202305281820;7.10;0.00;0.00;68.00;68.60;1.70;133.00;14.00;19.80;776.00;-;1021.30;1504.10;-;-;-;-;-;-;-
PAY;202305281820;21.30;0.00;8.00;84.00;39.30;6.90;50.00;11.20;20.20;956.70;1012.10;1014.30;-;-;-;-;-;-;-;-
PIL;202305281820;8.30;0.00;10.00;112.00;72.80;3.70;31.00;26.30;32.80;791.00;-;1020.90;1504.60;-;-;-;-;-;-;-
PIO;202305281820;16.80;0.00;0.00;43.00;69.30;11.20;59.00;1.10;4.00;902.20;-;1016.00;1496.30;-;-;-;-;-;-;-
COV;202305281820;0.20;0.00;5.00;90.00;83.50;-2.30;23.00;9.70;19.10;682.40;-;1024.20;-;3097.60;-;-;-;-;-;-
PMA;202305281820;2.90;0.00;0.00;30.00;93.60;2.00;338.00;17.30;19.80;737.90;-;1022.20;-;3094.80;-;-;-;-;-;-
PLF;202305281820;17.00;0.00;10.00;91.00;47.30;5.70;58.00;11.90;25.90;897.10;-;1016.70;1501.70;-;-;-;-;-;-;-
ROB;202305281820;13.50;0.00;0.00;36.00;86.00;11.20;123.00;2.90;5.40;893.90;-;1017.50;1501.80;-;-;-;-;-;-;-
PUY;202305281820;23.00;0.00;10.00;86.00;35.80;7.10;33.00;11.50;23.40;959.70;1011.00;1013.40;-;-;-;-;-;-;-;-
QUI;202305281820;-;-;-;-;-;-;342.00;4.00;8.30;965.10;-;1014.70;-;-;-;-;-;-;-;-
ROE;202305281820;9.60;0.00;0.00;39.00;83.80;7.00;170.00;3.60;7.20;810.60;-;1019.70;1500.10;-;-;-;-;-;-;-
RUE;202305281820;20.00;0.00;8.00;73.00;44.20;7.50;64.00;9.40;15.80;944.40;-;1016.00;1512.10;-;-;-;-;-;-;-
SBE;202305281820;12.70;0.00;0.00;33.00;59.20;5.00;283.00;4.30;13.30;836.20;-;1019.20;1502.30;-;-;-;-;-;-;-
