Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
MRP;202305291430;6.10;-;10.00;812.00;48.30;-4.00;148.00;7.60;10.40;718.90;-;1023.50;-;3105.10;-;-;-;-;-;-
MOA;202305291430;25.00;0.00;10.00;668.00;33.80;8.00;35.00;17.30;35.30;962.90;1013.70;1016.40;-;-;-;-;-;-;-;-
MTE;202305291430;17.80;0.00;7.00;547.00;33.50;1.50;19.00;8.60;19.80;841.10;-;1017.80;1490.70;-;-;-;-;-;-;-
MOE;202305291430;24.90;0.00;10.00;723.00;32.20;7.20;95.00;20.20;31.70;975.40;1014.20;1016.10;-;-;-;-;-;-;-;-
MUB;202305291430;24.10;0.00;10.00;747.00;35.40;7.90;56.00;12.60;31.70;958.90;1012.80;1015.50;-;-;-;-;-;-;-;-
NAS;202305291430;9.20;-;3.00;349.00;47.10;-1.50;10.00;21.60;31.30;765.00;-;1022.00;-;3111.70;-;-;-;-;-;-
NAP;202305291430;17.70;0.00;10.00;734.00;50.80;7.40;341.00;14.00;37.40;861.00;-;1019.60;1515.30;-;-;-;-;-;-;-
NEU;202305291430;25.20;0.00;10.00;730.00;25.70;4.20;75.00;23.80;40.70;958.30;1012.40;1015.40;-;-;-;-;-;-;-;-
CGI;202305291430;24.80;0.00;10.00;722.00;31.70;6.90;33.00;25.90;38.50;960.20;1011.50;1014.20;-;-;-;-;-;-;-;-
OBR;202305291430;24.90;0.00;-;-;34.90;8.40;358.00;22.70;41.40;967.50;1013.50;1015.90;-;-;-;-;-;-;-;-
AEG;202305291430;-;-;-;-;-;-;70.00;13.70;27.70;-;-;-;-;-;-;-;-;-;-;-
ORO;202305291430;22.20;0.00;10.00;699.00;38.00;7.20;24.00;32.00;49.00;919.80;-;1015.70;1510.30;-;-;-;-;-;-;-
BEH;202305291430;9.00;0.00;1.00;232.00;66.40;3.10;162.00;9.40;15.10;776.70;-;1022.20;1506.40;-;-;-;-;-;-;-
PAY;202305291430;24.70;0.00;10.00;721.00;32.70;7.20;39.00;19.80;36.70;957.50;1012.20;1015.10;-;-;-;-;-;-;-;-
PIL;202305291430;10.70;0.00;9.00;768.00;65.80;4.60;36.00;31.30;44.60;791.90;-;1022.00;1508.90;-;-;-;-;-;-;-
PIO;202305291430;20.40;0.00;7.00;614.00;49.50;9.50;88.00;18.70;27.40;902.60;-;1016.40;1506.70;-;-;-;-;-;-;-
COV;202305291430;1.00;0.00;1.00;312.00;82.50;-1.60;16.00;9.40;16.60;683.20;-;1025.30;-;3106.50;-;-;-;-;-;-
PMA;202305291430;5.00;0.00;0.00;127.00;71.60;0.30;330.00;15.10;27.40;738.70;-;1023.20;-;3106.90;-;-;-;-;-;-
PLF;202305291430;19.80;0.00;10.00;752.00;45.20;7.60;31.00;17.60;34.90;897.80;-;1017.50;1513.10;-;-;-;-;-;-;-
ROB;202305291430;17.90;0.00;7.00;629.00;56.50;9.10;229.00;5.80;11.20;894.00;-;1017.60;1509.50;-;-;-;-;-;-;-
PUY;202305291430;25.50;0.00;10.00;716.00;34.40;8.70;43.00;12.60;31.70;960.30;1011.20;1014.00;-;-;-;-;-;-;-;-
QUI;202305291430;-;-;-;-;-;-;120.00;3.20;4.00;965.50;-;1015.10;-;-;-;-;-;-;-;-
ROE;202305291430;12.80;0.00;10.00;772.00;58.20;4.80;146.00;10.10;15.80;811.40;-;1020.70;1503.80;-;-;-;-;-;-;-
RUE;202305291430;23.10;0.00;10.00;729.00;30.10;4.60;32.00;24.80;43.60;945.50;-;1017.20;1532.20;-;-;-;-;-;-;-
SBE;202305291430;12.50;0.00;0.00;112.00;78.40;8.80;133.00;4.70;9.70;837.20;-;1020.40;1512.40;-;-;-;-;-;-;-
HAI;202305291430;23.20;0.00;10.00;702.00;30.80;5.10;55.00;21.60;32.80;934.60;-;1018.50;1540.00;-;-;-;-;-;-;-
SAM;202305291430;15.20;0.00;5.00;608.00;56.30;6.60;205.00;18.70;28.10;828.80;-;1018.90;1495.20;-;-;-;-;-;-;-
SAG;202305291430;22.20;0.00;-;-;39.80;7.90;56.00;16.60;26.60;925.50;-;1017.30;1525.00;-;-;-;-;-;-;-
SHA;202305291430;24.80;0.00;10.00;717.00;26.30;4.20;43.00;21.60;37.40;965.20;1014.60;1017.10;-;-;-;-;-;-;-;-
SRS;202305291430;24.00;0.00;-;-;42.00;10.30;272.00;17.60;33.50;-;-;-;-;-;-;-;-;-;-;-
SCM;202305291430;-;-;-;-;-;-;70.00;17.60;32.00;967.70;-;1015.90;-;-;-;-;-;-;-;-
SPF;202305291430;22.60;0.00;10.00;727.00;37.70;7.50;32.00;24.80;40.30;930.40;-;1017.00;1525.50;-;-;-;-;-;-;-
SCU;202305291430;21.20;0.00;10.00;851.00;33.80;4.60;74.00;6.50;12.20;869.40;-;1017.20;1500.50;-;-;-;-;-;-;-
SIA;202305291430;13.00;0.00;1.00;530.00;64.30;6.40;251.00;25.20;38.20;820.00;-;1019.90;1501.50;-;-;-;-;-;-;-
SIM;202305291430;17.30;0.00;10.00;880.00;50.80;7.00;118.00;14.00;23.80;853.10;-;1018.70;1504.20;-;-;-;-;-;-;-
SIO;202305291430;27.00;0.00;10.00;752.00;35.70;10.50;247.00;27.70;38.50;955.40;1008.70;1012.00;-;-;-;-;-;-;-;-
PRE;202305291430;-;-;-;-;-;-;26.00;27.00;41.00;-;-;-;-;-;-;-;-;-;-;-
STC;202305291430;-;-;10.00;830.00;-;-;-;-;-;-;-;-;-;-;96.00;27.40;43.90;21.80;27.70;2.30
STG;202305291430;21.40;0.00;10.00;685.00;36.20;5.80;34.00;19.40;35.60;927.80;-;1018.10;1530.10;-;-;-;-;-;-;-
