Fr 29. Mai 03:00:01 UTC 2020: 0-BYTE ERROR
Fr 29. Mai 05:30:01 UTC 2020: 0-BYTE ERROR
Fr 29. Mai 07:45:02 UTC 2020: 0-BYTE ERROR
Fr 29. Mai 14:30:02 UTC 2020: 0-BYTE ERROR
Fr 29. Mai 15:45:01 UTC 2020: 0-BYTE ERROR
Fr 29. Mai 19:30:01 UTC 2020: 0-BYTE ERROR
Sa 30. Mai 13:00:02 UTC 2020: 0-BYTE ERROR
Sa 30. Mai 23:30:02 UTC 2020: 0-BYTE ERROR
So 31. Mai 16:30:01 UTC 2020: 0-BYTE ERROR
Mo 1. Jun 07:45:01 UTC 2020: 0-BYTE ERROR
Di 2. Jun 07:30:01 UTC 2020: 0-BYTE ERROR
Di 2. Jun 12:30:02 UTC 2020: 0-BYTE ERROR
Mi 3. Jun 19:30:02 UTC 2020: 0-BYTE ERROR
Do 4. Jun 15:30:01 UTC 2020: 0-BYTE ERROR
Fr 5. Jun 07:00:01 UTC 2020: 0-BYTE ERROR
Fr 5. Jun 11:30:01 UTC 2020: 0-BYTE ERROR
Sa 6. Jun 05:30:01 UTC 2020: 0-BYTE ERROR
Sa 6. Jun 16:45:01 UTC 2020: 0-BYTE ERROR
So 7. Jun 04:45:02 UTC 2020: 0-BYTE ERROR
So 7. Jun 04:45:02 UTC 2020: 0-BYTE ERROR
So 7. Jun 05:00:03 UTC 2020: 0-BYTE ERROR
So 7. Jun 14:30:01 UTC 2020: 0-BYTE ERROR
Mo 8. Jun 04:15:02 UTC 2020: 0-BYTE ERROR
Mo 8. Jun 04:45:01 UTC 2020: 0-BYTE ERROR
Di 9. Jun 07:30:01 UTC 2020: 0-BYTE ERROR
Di 9. Jun 17:30:01 UTC 2020: 0-BYTE ERROR
Do 11. Jun 10:30:03 UTC 2020: 0-BYTE ERROR
Do 11. Jun 17:45:02 UTC 2020: 0-BYTE ERROR
Do 11. Jun 18:00:02 UTC 2020: 0-BYTE ERROR
Do 11. Jun 23:30:01 UTC 2020: 0-BYTE ERROR
Fr 12. Jun 20:45:02 UTC 2020: 0-BYTE ERROR
